CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[5178],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TERNATE / TERNATE / PACIFIC OCEAN,,0.8,0.8,127.33,127.33,SUBAERIAL,,,s PK.2.1 [5178],ANDESITE [5178],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5178] ,59.63,0.55,,17.01,,,,6.05,6.43,2.56,0.16,,3.09,3.58,0.26,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,192,,,,,,10,49,14,,,,,92,663,21,141,7.4,,,,,,,,,,,,,1785,54.4,92,,29.2,5.5,1.48,,0.67,,,,,1.97,0.33,3.2,,,,,,,,,,13,,23.2,4.8,0.512555,,,0.706033,,19.259,,15.681,,39.533,,,,,,,,,,,,,,,120449
[5178],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TERNATE / TERNATE / PACIFIC OCEAN,,0.8,0.8,127.33,127.33,SUBAERIAL,,,s ME99AL6 [5178],ANDESITE [5178],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5178] ,60.61,0.56,,17.38,,,,5.52,6.11,2.27,0.13,,3.04,3.53,0.23,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,135,6.4,,,,7,20,67,14,,,,,101,702,20,141,7,,,,,,,,,,,,5.3,1500,54.3,91.8,9.3,32.8,5.4,1.59,4.83,0.64,3.33,0.63,1.82,0.26,1.75,0.28,3.3,,,,,,,,,,23.8,,23,4.5,0.512533,,,0.706083,,19.268,,15.702,,39.594,,,,,,,,,,,,,,,120450
[5178],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TERNATE / TERNATE / PACIFIC OCEAN,,0.8,0.8,127.33,127.33,SUBAERIAL,,,s ME99AL7 [5178],ANDESITE [5178],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5178] ,57.25,0.68,,17.61,,,,6.98,7.33,3.01,0.15,,2.67,3.32,0.22,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,164,3.4,,,,9,33,52,16,,,,,82,722,20,117,6,,,,,,,,,,,,1.7,1296,45.1,76.9,8.2,29.5,5.4,1.57,4.54,0.62,3.31,0.63,1.83,0.27,1.7,0.27,2.7,,,,,,,,,,13.7,,18.3,3.8,0.512549,,,0.706069,,19.272,,15.691,,39.566,,,,,,,,,,,,,,,120451
[5178],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / KISU / KISU / INDIAN OCEAN,,-8.38,-8.38,124.41,124.41,SUBAERIAL,,,s BUA1.2.3 [5178],ANDESITE [5178],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5178] ,58.03,0.61,,17.81,,,,5.98,6.41,2.06,0.18,,4.28,3.68,0.28,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,146,,,,,,8.8,65,16,,,,,120,857,30,169,8,,,,,,,,,,,,,1782,77.4,137,,51,8.9,2.25,,1.03,,,,,2.4,0.38,3.8,,,,,,,,,,14,,31.9,5.9,0.512496,,,0.706758,,19.217,,15.69,,39.499,,,,,,,,,,,,,,,120452
[5178],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / KISU / KISU / INDIAN OCEAN,,-8.38,-8.38,124.41,124.41,SUBAERIAL,,,s BU1.2.1 [5178],ANDESITE [5178],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5178] ,58.25,0.61,,17.92,,,,5.72,6.32,2.1,0.15,,4.33,3.62,0.34,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,154,,,,,5,10,69,16,,,,,124,900,29,159,7.8,,,,,,,,,,,,,1927,79,138,,52,,,,,,,,,,,,,,,,,,,,,15,,37,8,0.512446,,,0.706697,,19.198,,15.674,,39.429,,,,,,,,,,,,,,,120453
[5178],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / KISU / KISU / INDIAN OCEAN,,-8.38,-8.38,124.41,124.41,SUBAERIAL,,,s BU1.2.3.2 [5178],ANDESITE [5178],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5178] ,58.2,0.62,,17.88,,,,5.78,6.34,2.11,0.16,,4.32,3.61,0.34,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,155,0.9,,,,3,10,65,17,,,,,126,882,27,161,8.1,,,,,,,,,,,,2.6,1816,74.4,128.2,13.4,48.2,8.5,2.28,7.05,0.94,4.72,0.83,2.46,0.34,2.25,0.35,4,,,,,,,,,,14.4,,30,5.7,0.512449,,,0.706724,,19.193,,15.673,,39.424,,,,,,,,,,,,,,,120454
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / DAMAR / PACIFIC OCEAN,,-7.11,-7.11,128.55,128.55,SUBAERIAL,,,s 8728 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126229
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / DAMAR / PACIFIC OCEAN,,-7.11,-7.11,128.55,128.55,SUBAERIAL,,,s 8729 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126230
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / DAMAR / PACIFIC OCEAN,,-7.11,-7.11,128.55,128.55,SUBAERIAL,,,s 8730 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126231
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / DAMAR / PACIFIC OCEAN,,-7.11,-7.11,128.55,128.55,SUBAERIAL,,,s 8731 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126232
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / DAMAR / PACIFIC OCEAN,,-7.11,-7.11,128.55,128.55,SUBAERIAL,,,s 8732 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126233
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / DAMAR / PACIFIC OCEAN,,-7.11,-7.11,128.55,128.55,SUBAERIAL,,,s 8811 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126234
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / DAMAR / PACIFIC OCEAN,,-7.11,-7.11,128.55,128.55,SUBAERIAL,,,s 8813 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126235
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / DAMAR / PACIFIC OCEAN,,-7.11,-7.11,128.55,128.55,SUBAERIAL,,,s 8814 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126236
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / DAMAR / PACIFIC OCEAN,,-7.11,-7.11,128.55,128.55,SUBAERIAL,,,s 8815 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126237
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / DAMAR / PACIFIC OCEAN,,-7.11,-7.11,128.55,128.55,SUBAERIAL,,,s 8816 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126238
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / DAMAR / PACIFIC OCEAN,,-7.11,-7.11,128.55,128.55,SUBAERIAL,,,s 8817 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126239
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TEUN (TEON) / PACIFIC OCEAN,,-6.94,-6.94,129.11,129.11,SUBAERIAL,,,s 8820 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126240
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TEUN (TEON) / PACIFIC OCEAN,,-6.94,-6.94,129.11,129.11,SUBAERIAL,,,s 8821 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126241
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / NILA / PACIFIC OCEAN,,-6.66,-6.66,129.49,129.49,SUBAERIAL,,,s 8823 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126242
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / NILA / PACIFIC OCEAN,,-6.66,-6.66,129.49,129.49,SUBAERIAL,,,s 8826 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126243
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / NILA / PACIFIC OCEAN,,-6.66,-6.66,129.49,129.49,SUBAERIAL,,,s 8827 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126244
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / NILA / PACIFIC OCEAN,,-6.66,-6.66,129.49,129.49,SUBAERIAL,,,s 8829 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126245
