Gestein,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Harzburgit,0.01,0.03,Missing,0.02,0.006,0.001,0.006,0.001,0.009,0.002,0.009,0.002,0.018,0.004
Lherzolit,2.853,4.315,0.381,1.292,0.241,0.087,0.31,0.056,0.411,0.09,0.282,0.044,0.291,0.048
DM,0.023,0.077,0.013,0.071,0,0.011,0.04,0.008,0.053,0.012,0.037,Missing,0.04,0.006
MORB,4.13,11.46,1.84,9.3,2.96,1.13,4.04,0.68,4.7,0.93,3,0.47,2.72,0.41
Granite,45,85,9.5,34,5.5,1.49,3.68,0.46,2.55,0.46,1.15,0.16,1.1,0.19
Rhyolite,20.199,46.139,4.486,16.209,3.251,0.873,2.558,0.331,1.308,0.274,0.731,0.157,0.684,0.161
CI,0.28,0.75,0.098,0.5,0.17,0.059,0.23,0.039,0.27,0.059,0.18,0.029,0.18,0.029
