El,Energy (keV),I,LDE1,LDE2,LDE4,LIF,Lambda (A),Line,Line old,PET,STE,TAP,Z
Rb,13.33347675,50,4.338553333,2.656257143,6.50783,64.64678273,0.92969,K$\alpha$2,K_2,29.77730496,2.592760956,10.10650309,37
Sr,14.09549367,50,4.104006667,2.512657143,6.15601,61.15191099,0.87943,K$\alpha$2,K_2,28.16751315,2.452593625,9.560135109,38
Y,17.01251647,4,3.40032,2.081828571,5.10048,50.66660044,0.72864,K$\beta$2,K_2,23.33781743,2.032063745,7.920922468,39
Y,2.153578874,,26.86133333,16.44571429,40.292,400.2483423,5.756,Al2,Al2,184.3605582,16.05258964,62.57250456,39
Zr,15.68816048,50,3.687366667,2.257571429,5.53105,54.94375047,0.79015,K$\alpha$2,K_2,25.30793869,2.203605578,8.589587297,40
Zr,0.150986602,10,383.1333333,234.5714286,574.7,5708.893138,82.1,MZ,MZ,2629.60421,228.9641434,892.495244,40
Mo,19.58696099,7,2.953393333,1.8082,4.43009,44.00715226,0.63287,K$\beta$3,K_3,20.27037291,1.764976096,6.879822961,42
Mo,2.394399932,45,24.15970667,14.79165714,36.23956,359.9926491,5.17708,L$\beta$1,L$\beta$1,165.8181652,14.43807171,56.27916295,42
Tc,18.32507946,150,3.156766667,1.932714286,4.73515,47.03752452,0.67645,"K$\alpha$1,2","K_1,2",21.66620911,1.886513944,7.353573786,43
Tc,18.36390033,100,3.150093333,1.928628571,4.72514,46.93808826,0.67502,K$\alpha$1,K_1,21.62040723,1.882525896,7.338028497,43
Tc,21.00162646,3,2.754453333,1.6864,4.13168,41.04283905,0.59024,K$\beta$2,K_2,18.90496454,1.646087649,6.416399425,43
Na,1.050063532,10,55.09,33.72857143,82.635,820.8706882,11.805,SK$\alpha\3,SK$\alpha\3,378.1056966,32.92231076,128.3301627,11
Si,1.839715049,,31.444,19.25142857,47.166,468.5325453,6.738,AK,AK,215.813315,18.79123506,73.24766083,14
K,3.33172069,3,17.3628,10.63028571,26.0442,258.7150769,3.7206,SK$\alpha\3,SK$\alpha\3,119.1681537,10.3761753,40.44601468,19
K,3.335405181,3,17.34362,10.61854286,26.01543,258.4292845,3.71649,SK$\alpha\4,SK$\alpha\4,119.0365134,10.36471315,40.40133556,19
Ca,0.306376668,1,188.8133333,115.6,283.22,2813.420419,40.46,L$\eta$,L$\eta$,1295.904827,112.8366534,439.8338316,20
Ca,0.347909065,,166.2733333,101.8,249.41,2477.562272,35.63,"Al2,3","Al2,3",1141.203386,99.36653386,387.3277167,20
Ca,3.714903067,2,15.57187333,9.5338,23.35781,232.0293044,3.33683,SK$\alpha\4,SK$\alpha\4,106.8762755,9.305900398,36.27411577,20
Sc,4.45963448,20,12.97146667,7.941714286,19.4572,193.2818437,2.7796,"K$\beta$1,3","K$\beta$1,3",89.02859757,7.75187251,30.21656249,21
Cr,0.742275449,,77.93333333,47.71428571,116.9,1161.248665,16.7,Al1,Al1,534.8890414,46.57370518,181.5428815,24
Mn,6.534183754,,8.853133333,5.420285714,13.2797,131.9164576,1.8971,K$\beta$5,K$\beta$5,60.76275452,5.290717131,20.62305393,25
Ni,7.476883546,100,7.736913333,4.736885714,11.60537,115.2841781,1.65791,K$\alpha$1,K_1,53.1016701,4.623653386,18.02285981,28
Cu,8.90376521,20,6.497026667,3.977771429,9.74554,96.8091986,1.39222,"K$\beta$1,3","K$\beta$1,3",44.59180965,3.882685259,15.13458866,29
Cu,0.810196078,5,71.4,43.71428571,107.1,1063.898478,15.3,L$\iota$,L_,490.0480439,42.66932271,166.3237178,29
Zn,9.570353214,20,6.0445,3.700714286,9.06675,90.0663074,1.29525,"K$\beta$1,3","K$\beta$1,3",41.48592999,3.612250996,14.08044415,30
Ga,0.956998379,1,60.44733333,37.00857143,90.671,900.6978419,12.953,L$\iota$,L_,414.8753146,36.12390438,140.8098769,31
Ga,1.116756757,,51.8,31.71428571,77.7,771.8479152,11.1,Al3,Al3,355.5250515,30.9561753,120.6662267,31
Ge,9.874379665,150,5.858393333,3.586771429,8.78759,87.29321777,1.25537,"K$\alpha$1,2","K_1,2",40.20860215,3.501031873,13.6469154,32
Ge,9.853657761,50,5.870713333,3.594314286,8.80607,87.47679241,1.25801,K$\alpha$2,K_2,40.29315946,3.508394422,13.6756144,32
Ge,1.412971617,,40.94066667,25.06571429,61.411,610.0379964,8.773,Al1,Al1,280.9929078,24.46653386,95.36980238,32
As,1.388285362,2,41.66866667,25.51142857,62.503,620.8855887,8.929,"L$\beta$3,4","L_3,4",285.9894761,24.90159363,97.06565206,33
As,1.52904897,,37.83266667,23.16285714,56.749,563.7271215,8.107,Al1,Al1,259.6614047,22.60916335,88.12982878,33
Se,12.49370074,16,4.630173333,2.8348,6.94526,68.99207788,0.99218,K$\beta$1,K_1,31.77881492,2.767035857,10.78582133,34
Se,1.41898853,35,40.76706667,24.95942857,61.1506,607.4512628,8.7358,L$\beta$1,L$\beta$1,279.8014184,24.36278884,94.96540746,34
Br,1.480190099,100,39.08146667,23.92742857,58.6222,582.3349144,8.3746,"L$\alpha$1,2","L$\alpha$1,2",268.2324411,23.35545817,91.03886322,35
Rb,1.806470417,,32.02266667,19.60571429,48.034,477.1549904,6.862,Al3,Al3,219.7849462,19.13705179,74.5956439,37
Y,16.87678693,,3.427666667,2.098571429,5.1415,51.07408051,0.7345,K$\beta$5,K$\beta$5,23.52550904,2.048406375,7.984625539,39
Y,2.079168064,,27.82266667,17.03428571,41.734,414.572727,5.962,Al3,Al3,190.9585907,16.62709163,64.8118958,39
Zr,15.74415119,150,3.674253333,2.249542857,5.51138,54.74835473,0.78734,"K$\alpha$1,2","K_1,2",25.2179364,2.195768924,8.559040261,40
Zr,2.124057574,45,27.23466667,16.67428571,40.852,405.8112102,5.836,L$\beta$1,L$\beta$1,186.9229009,16.27569721,63.44217106,40
Zr,2.200603586,3,26.28733333,16.09428571,39.431,391.695433,5.633,L$\beta$3,L_3,180.4209563,15.70956175,61.23539232,40
Zr,2.540684567,,22.76866667,13.94,34.153,339.2654034,4.879,Al1,Al1,156.2708762,13.60677291,53.03878557,40
Nb,18.98315467,,3.047333333,1.865714286,4.571,45.40690888,0.653,AK,AK,20.9151224,1.821115538,7.098652793,41
Nb,0.171927878,1,336.4666667,206,504.7,5013.534656,72.1,M2-M4,M2-M4,2309.31137,201.0756972,783.7869317,41
Mo,19.95813879,,2.898466667,1.774571429,4.3477,43.18871533,0.6211,K$\beta$2+2,K$\beta$2+2,19.89338824,1.732151394,6.751873277,42
Mo,2.292774505,100,25.23056667,15.44728571,37.84585,375.9490402,5.40655,L$\alpha$1,L_1,173.167925,15.07802789,58.77369259,42
Mo,0.165500668,10,349.5333333,214,524.3,5208.235031,74.9,M3-M5,M3-M5,2398.993365,208.8844622,814.2252592,42
Mg,1.303168562,,44.39026667,27.17771429,66.5854,661.4388954,9.5122,AK,AK,304.6689545,26.52804781,103.4055208,12
Mg,1.261833506,8,45.8444,28.068,68.7666,683.1062657,9.8238,SK$\alpha\3,SK$\alpha\3,314.6492793,27.39705179,106.7928718,12
Si,1.739686924,100,33.25196,20.35834286,49.87794,495.4721236,7.12542,K$\alpha$1,K_1,228.2221002,19.87168924,77.45923827,14
Si,1.74731827,,33.10673333,20.26942857,49.6601,493.308168,7.0943,SK$\alpha$+,SK_+,227.2253489,19.7849004,77.120938,14
Ca,0.352860803,,163.94,100.3714286,245.91,2442.794348,35.13,Al2,Al2,1125.188744,97.97211155,381.8923011,20
Cr,0.500242131,1,115.64,70.8,173.46,1723.098319,24.78,L$\iota$,L_,793.6856555,69.10756972,269.3791979,24
Mn,6.489338869,20,8.914313333,5.457742857,13.37147,132.8280726,1.91021,"K$\beta$1,3","K$\beta$1,3",61.18265843,5.327278884,20.76557052,25
Co,0.676637555,9,85.49333333,52.34285714,128.24,1273.896739,18.32,L$\iota$,L_,586.7764814,51.09163347,199.1536281,27
Ga,1.097768332,100,52.696,32.26285714,79.044,785.198798,11.292,"L$\alpha$1,2","L$\alpha$1,2",361.674674,31.49163347,122.7534263,31
Ge,11.07280036,,5.224333333,3.198571429,7.8365,77.84538207,1.1195,K$\beta$5,K$\beta$5,35.85678334,3.122111554,12.16989556,32
As,10.52998191,150,5.493646667,3.363457143,8.24047,81.85829588,1.17721,"K$\alpha$1,2","K_1,2",37.70519332,3.283055777,12.79725123,33
As,10.50624221,50,5.50606,3.371057143,8.25909,82.04326123,1.17987,K$\alpha$2,K_2,37.79039121,3.290474104,12.82616764,33
As,1.316748282,35,43.93246667,26.89742857,65.8987,654.6174287,9.4141,L$\beta$1,L$\beta$1,301.5268817,26.25446215,102.3390923,33
Kr,1.729352679,,33.45066667,20.48,50.176,498.43296,7.168,Al2,Al2,229.5859071,19.99043825,77.92211826,36
Rb,14.95872955,16,3.867173333,2.367657143,5.80076,57.6229667,0.82868,K$\beta$1,K_1,26.542027,2.311059761,9.008440424,37
Rb,15.20235467,,3.8052,2.329714286,5.7078,56.69953063,0.8154,K$\beta$4,K_4,26.11667811,2.274023904,8.864075785,37
Rb,1.774863263,3,32.59293333,19.95485714,48.8894,485.6522711,6.9842,L$\beta$6,L_6,223.6989247,19.47784861,75.92405948,37
Sr,15.96599691,,3.6232,2.218285714,5.4348,53.98763255,0.7764,K$\beta$5,K$\beta$5,24.86753603,2.165258964,8.440113367,38
Sr,16.10497596,,3.591933333,2.199142857,5.3879,53.52174237,0.7697,AK,AK,24.65293983,2.146573705,8.367278798,38
Sr,1.871405063,45,30.91153333,18.92542857,46.3673,460.598505,6.6239,L$\beta$1,L$\beta$1,212.1587737,18.47302789,72.00729899,38
Y,2.059615193,3,28.0868,17.196,42.1302,418.5084561,6.0186,L$\beta$4,L_4,192.7714482,16.78494024,65.42718484,39
Zr,17.66491386,18,3.27474,2.004942857,4.91211,48.79539077,0.70173,K$\beta$1,K_1,22.4759094,1.957015936,7.628388399,40
Zr,17.81290415,,3.247533333,1.988285714,4.8713,48.38999677,0.6959,K$\beta$5,K$\beta$5,22.28917868,1.940756972,7.565011453,40
Zr,17.99651568,,3.2144,1.968,4.8216,47.89629225,0.6888,AK,AK,22.06177076,1.920956175,7.487828551,40
Nb,16.5808376,150,3.488846667,2.136028571,5.23327,51.98569548,0.74761,"K$\alpha$1,2","K_1,2",23.94541295,2.084968127,8.127142136,41
Nb,16.51830926,50,3.502053333,2.144114286,5.25308,52.18248193,0.75044,K$\alpha$2,K_2,24.03605582,2.092860558,8.157906589,41
Nb,2.31212579,3,25.0194,15.318,37.5291,372.802543,5.3613,L$\beta$6,L_6,171.7185999,14.95183267,58.28178748,41
Mo,2.830136986,1,20.44,12.51428571,30.66,304.5670152,4.38,"LG2,3","LG2,3",140.2882636,12.21513944,47.61424079,42
Mo,2.880111524,,20.08533333,12.29714286,30.128,299.2822907,4.304,Al1,Al1,137.854038,12.00318725,46.78805762,42
Tc,20.61533344,16,2.806066667,1.718,4.2091,41.81190553,0.6013,K$\beta$1,K_1,19.25920842,1.676932271,6.536630819,43
C,0.278812416,100,207.48,127.0285714,311.22,3091.563812,44.46,K$\alpha$,K_,1424.021963,123.9920319,483.3171565,6
Na,1.057949987,2,54.67933333,33.47714286,82.019,814.7515335,11.717,SK$\alpha\5,SK$\alpha\5,375.2871197,32.67689243,127.3735295,11
Al,1.559618022,,37.09113333,22.70885714,55.6367,552.6778752,7.9481,AK,AK,254.5719515,22.16601594,86.4024537,13
Si,1.83562861,5,31.514,19.29428571,47.271,469.575583,6.753,K$\beta$,K_,216.2937543,18.83306773,73.4107233,14
P,2.012991231,150,28.73733333,17.59428571,43.106,428.2017533,6.158,"K$\alpha$1,2","K_1,2",197.2363304,17.17370518,66.94257872,15
P,2.026606154,5,28.54427333,17.47608571,42.81641,425.3250553,6.11663,SK$\alpha\3,SK$\alpha\3,195.9112789,17.05833068,66.49285243,15
P,2.040393067,,28.3514,17.358,42.5271,422.4511386,6.0753,SK$\alpha\5,SK$\alpha\5,194.5875086,16.94306773,66.04356097,15
Cl,0.182562592,100,316.8666667,194,475.3,4721.484094,67.9,L$\iota$,L_,2174.788378,189.3625498,738.1294405,17
K,3.313198268,100,17.45986667,10.68971429,26.1898,260.1614225,3.7414,K$\alpha$1,K_1,119.8343628,10.43418327,40.67212797,19
K,3.310455334,50,17.47433333,10.69857143,26.2115,260.3769836,3.7445,K$\alpha$2,K_2,119.9336536,10.44282869,40.70582754,19
Sc,0.352860803,1,163.94,100.3714286,245.91,2442.794348,35.13,L$\eta$,L$\eta$,1125.188744,97.97211155,381.8923011,21
V,4.948838843,150,11.68920667,7.156657143,17.53381,174.1754787,2.50483,"K$\alpha$1,2","K_1,2",80.22791123,6.985581673,27.22958419,23
Cr,5.410737669,150,10.69133333,6.545714286,16.037,159.3066283,2.291,"K$\alpha$1,2","K_1,2",73.37908945,6.389243028,24.90507435,24
Fe,7.106983144,,8.1396,4.983428571,12.2094,121.2844265,1.7442,K$\beta$5,K$\beta$5,55.86547701,4.864302789,18.96090383,26
Fe,0.70471859,100,82.08666667,50.25714286,123.13,1223.13557,17.59,"L$\alpha$1,2","L$\alpha$1,2",563.3951041,49.05577689,191.2179213,26
Co,7.704642924,,7.5082,4.596857143,11.2623,111.8762262,1.6089,K$\beta$5,K$\beta$5,51.53191489,4.486972112,17.49008037,27
Ni,8.327287384,,6.9468,4.253142857,10.4202,103.5110637,1.4886,K$\beta$5,K$\beta$5,47.67879204,4.151474104,16.18231937,28
Cu,8.975454348,,6.445133333,3.946,9.6677,96.03595997,1.3811,K$\beta$5,K$\beta$5,44.23564402,3.851673307,15.01370501,29
Cu,8.978704911,,6.4428,3.944571429,9.6642,96.00119204,1.3806,AK,AK,44.21962938,3.850278884,15.0082696,29
Zn,8.62966779,150,6.703386667,4.104114286,10.05508,99.88407381,1.43644,"K$\alpha$1,2","K_1,2",46.00814459,4.006007968,15.61529681,30
Zn,0.904817518,2,63.93333333,39.14285714,95.9,952.6411205,13.7,L$\eta$,L$\eta$,438.8011897,38.20717131,148.9303879,30
Ge,9.884773334,100,5.852233333,3.583,8.77835,87.20143045,1.25405,K$\alpha$1,K_1,40.1663235,3.497350598,13.6325659,32
Ge,10.97612807,7,5.270346667,3.226742857,7.90552,78.53100554,1.12936,K$\beta$3,K_3,36.17259208,3.149609562,12.27708196,32
Ge,1.03602173,1,55.83666667,34.18571429,83.755,831.9964239,11.965,L$\iota$,L_,383.2303821,33.3685259,130.0694957,32
Ge,1.216844999,,47.53933333,29.10571429,71.309,708.3616857,10.187,Al3,Al3,326.2823153,28.40996016,110.7411577,32
Se,1.378865406,100,41.95333333,25.68571429,62.93,625.1272754,8.99,"L$\alpha$1,2","L$\alpha$1,2",287.9432624,25.07171315,97.72877276,34
Br,11.87561074,50,4.87116,2.982342857,7.30674,72.58290908,1.04382,K$\alpha$2,K_2,33.43280714,2.911051793,11.34719105,35
Kr,14.31243505,3,4.0418,2.474571429,6.0627,60.22499814,0.8661,K$\beta$2,K_2,27.7405628,2.415418327,9.415226929,36
Rb,1.865743528,,31.00533333,18.98285714,46.508,461.9961755,6.644,Al2,Al2,212.8025623,18.52908367,72.22580269,37
Sr,14.16264881,100,4.084546667,2.500742857,6.12682,60.86194651,0.87526,K$\alpha$1,K_1,28.03395104,2.440964143,9.514803743,38
Sr,1.804445609,10,32.0586,19.62771429,48.0879,477.6904165,6.8697,L$\alpha$2,L_2,220.0315717,19.1585259,74.6793493,38
Sr,2.216738197,,26.096,15.97714286,39.144,388.8444632,5.592,Al1,Al1,179.1077557,15.59521912,60.78968824,38
Y,14.88025929,50,3.887566667,2.380142857,5.83135,57.92683835,0.83305,K$\alpha$2,K_2,26.68199497,2.323247012,9.055945956,39
Mo,17.47638517,100,3.310066667,2.026571429,4.9651,49.32177714,0.7093,K$\alpha$1,K_1,22.71837108,1.97812749,7.710680592,42
Mo,19.60492812,17,2.950686667,1.806542857,4.42603,43.96682147,0.63229,K$\beta$1,K_1,20.25179593,1.763358566,6.873517879,42
Mo,2.62304795,1,22.05373333,13.50228571,33.0806,328.6125115,4.7258,LG1,LG1,151.3639899,13.17952191,51.37337423,42
Tc,2.423555173,100,23.86906667,14.61371429,35.8036,355.6619564,5.1148,L$\alpha$1,L_1,163.8233814,14.26438247,55.60212758,43
Tc,3.054706752,,18.93733333,11.59428571,28.406,282.176472,4.058,Al1,Al1,129.9748341,11.31713147,44.11383313,43
Ru,22.10019611,,2.617533333,1.602571429,3.9263,39.00265726,0.5609,K$\beta$4,K_4,17.96522535,1.564262948,6.097449237,44
Ru,2.252384846,3,25.683,15.72428571,38.5245,382.6905406,5.5035,L$\iota$,L_,176.273164,15.34840637,59.82761968,44
Tc,2.677321814,,21.60666667,13.22857143,32.41,321.9509772,4.63,Al3,Al3,148.2955845,12.9123506,50.3319486,43
Tc,2.794409378,,20.70133333,12.67428571,31.052,308.4610227,4.436,Al2,Al2,142.0819035,12.37131474,48.22300734,43
Rh,2.696289014,100,21.45467333,13.13551429,32.18201,319.6861947,4.59743,L$\alpha$1,L_1,147.2523908,12.82151793,49.97788562,45
Rh,2.89031897,5,20.0144,12.25371429,30.0216,298.2253458,4.2888,L$\beta$4,L_4,137.3671929,11.96079681,46.62282098,45
Rh,0.303080685,10,190.8666667,116.8571429,286.3,2844.016192,40.9,"M4,5O2,3","M4,5O2,3",1309.997712,114.063745,444.6169973,45
Pd,23.81464689,18,2.429093333,1.4872,3.64364,36.19479971,0.52052,K$\beta$1,K_1,16.67188286,1.451649402,5.658485072,46
Pd,23.99071028,,2.411266667,1.476285714,3.6169,35.92917277,0.5167,K$\beta$5,K$\beta$5,16.549531,1.440996016,5.616958497,46
Pd,3.072423536,11,18.82813333,11.52742857,28.2422,280.5493332,4.0346,L$\beta$3,L_3,129.2253489,11.25187251,43.85945568,46
Ag,24.93813749,18,2.31966,1.4202,3.47949,34.56418407,0.49707,K$\beta$1,K_1,15.92079616,1.386250996,5.40356408,47
Ag,2.977703258,10,19.42705333,11.89411429,29.14058,289.473564,4.16294,L$\alpha$2,L_2,133.3359872,11.60979283,45.25461816,47
Ag,0.398073218,,145.32,88.97142857,217.98,2165.346313,31.14,Am5,Am5,997.3919012,86.84462151,338.5176845,47
Cd,3.316007843,42,17.44507333,10.68065714,26.16761,259.9409939,3.73823,L$\beta$1,L$\beta$1,119.73283,10.42534263,40.63766743,48
Cd,3.950664499,5,14.6426,8.964857143,21.9639,218.1826309,3.1377,LG2,LG2,100.4982841,8.750557769,34.10940715,48
Cd,0.407763158,10,141.8666667,86.85714286,212.8,2113.889786,30.4,"M4-O2,3","M4-O2,3",973.6902311,84.78087649,330.4732694,48
In,27.27152726,19,2.121186667,1.298685714,3.18178,31.60682445,0.45454,K$\beta$1,K_1,14.55859071,1.267641434,4.941227627,49
In,27.93779581,,2.0706,1.267714286,3.1059,30.85305585,0.4437,AK,AK,14.21139327,1.237410359,4.823387817,49
Sn,0.489960474,10,118.0666667,72.28571429,177.1,1759.25696,25.3,"M4-O2,3","M4-O2,3",810.3408831,70.55776892,275.0320301,50
Sb,3.188058412,7,18.14521333,11.10931429,27.21782,270.3734572,3.88826,L$\iota$,L_,124.5381835,10.84375299,42.26861824,51
Sb,4.697589814,,12.3144,7.539428571,18.4716,183.4911963,2.6388,Al1,Al1,84.5188744,7.359203187,28.68594945,51
Te,4.570105552,8,12.65791333,7.749742857,18.98687,188.6097301,2.71241,LG1,LG1,86.87654999,7.56449004,29.48615134,52
I,4.256765806,4,13.58966,8.3202,20.38449,202.4932575,2.91207,L$\beta$4,L_4,93.27151682,8.121310757,31.6566215,53
Cs,4.271536871,10,13.54266667,8.291428571,20.314,201.7930315,2.902,L$\alpha$2,L_2,92.94898193,8.093227092,31.54715223,55
Ba,5.796044326,1,9.9806,6.110571429,14.9709,148.7163186,2.1387,LG2,LG2,68.50102951,5.964501992,23.24944675,56
Ba,0.779132621,10,74.24666667,45.45714286,111.37,1106.315345,15.91,M4-O2,M4-O2,509.5859071,44.37051793,172.9549249,56
La,5.88799696,,9.824733333,6.015142857,14.7371,146.3938212,2.1053,Al2,Al2,67.43125143,5.871354582,22.88636099,57
La,0.84040678,45,68.83333333,42.14285714,103.25,1025.653761,14.75,MB,MB,472.4319378,41.13545817,160.3447606,57
Ce,1.075108413,1,53.80666667,32.94285714,80.71,801.7483299,11.53,Mg,Mg,369.2976436,32.15537849,125.3406841,58
Pr,4.934713376,1,11.72266667,7.177142857,17.584,174.6740507,2.512,L$\eta$,L$\eta$,80.4575612,7.005577689,27.30752805,59
Pr,5.962195181,,9.702466667,5.940285714,14.5537,144.571982,2.0791,Al3,Al3,66.59208419,5.798286853,22.60154521,59
Nd,5.828474704,6,9.925066667,6.076571429,14.8876,147.888842,2.1268,L$\beta$3,L_3,68.11988103,5.931314741,23.12008386,60
Nd,0.994943414,,58.142,35.59714286,87.213,866.3471329,12.459,Am4,Am4,399.0528483,34.74621514,135.4396863,60
Sm,5.635057733,100,10.26573333,6.285142857,15.3986,152.9649589,2.1998,L$\alpha$1,L_1,70.45801876,6.134900398,23.91365454,62
Sm,7.485462044,1,7.728046667,4.731457143,11.59207,115.15206,1.65601,LG3,LG3,53.04081446,4.618354582,18.00220523,62
Sm,1.098157335,,52.67733333,32.25142857,79.016,784.9206546,11.288,Am4,Am4,361.5465569,31.48047809,122.7099429,62
Gd,6.712150747,50,8.6184,5.276571429,12.9276,128.4188045,1.8468,L$\beta$1,L$\beta$1,59.15168154,5.150438247,20.07625112,64
Gd,8.103549716,1,7.1386,4.370571429,10.7079,106.368987,1.5297,LG3,LG3,48.99519561,4.266095618,16.62911053,64
Gd,7.241923234,,7.987933333,4.890571429,11.9819,119.0245114,1.7117,Al3,Al3,54.82452528,4.773665339,18.60760182,64
Tb,8.100372476,5,7.1414,4.372285714,10.7121,106.4107085,1.5303,LG1,LG1,49.01441318,4.267768924,16.63563303,65
Tb,8.422339992,1,6.8684,4.205142857,10.3026,102.3428614,1.4718,LG3,LG3,47.14070007,4.104621514,15.9996894,65
Dy,1.00169697,5,57.75,35.35714286,86.625,860.5061216,12.375,MZ,MZ,396.3623885,34.51195219,134.5265365,66
Ru,21.63086534,8,2.674326667,1.637342857,4.01149,39.84890854,0.57307,K$\beta$3,K_3,18.35502173,1.598203187,6.229747253,44
Rh,0.26003776,1,222.46,136.2,333.69,3314.773884,47.67,MZ,MZ,1526.835964,132.9442231,518.2125248,45
Pd,21.17345632,100,2.7321,1.672714286,4.09815,40.70976234,0.58545,K$\alpha$1,K_1,18.75154427,1.632729084,6.364328144,46
Pd,24.33928922,,2.376733333,1.455142857,3.5651,35.41460749,0.5093,K$\beta$4,K_4,16.3125143,1.420358566,5.536514346,46
Pd,3.17124898,25,18.24139333,11.1682,27.36209,271.806591,3.90887,"L$\beta$2,15","L$\beta$2,15",125.198307,10.90123108,42.49266607,46
Pd,2.659800451,1,21.749,13.31571429,32.6235,324.0718206,4.6605,L$\eta$,L$\eta$,149.2724777,12.99741036,50.66350895,46
Cd,3.126387151,10,18.50314667,11.32845714,27.75472,275.7068567,3.96496,L$\alpha$2,L_2,126.9948296,11.05765737,43.102411,48
Cd,3.429358697,1,16.86846,10.32762857,25.30269,251.3491445,3.61467,L$\beta$6,L_6,115.7752917,10.08075299,39.29446752,48
In,27.85617978,5,2.076666667,1.271428571,3.115,30.94345245,0.445,K$\beta$2,K_2,14.25303134,1.241035857,4.837519898,49
In,3.713178248,17,15.57910667,9.538228571,23.36866,232.137085,3.33838,"L$\beta$2,15","L$\beta$2,15",106.9259208,9.310223108,36.29096556,49
Sn,3.434832124,10,16.84158,10.31117143,25.26237,250.948618,3.60891,L$\alpha$2,L_2,115.590803,10.06468924,39.23185154,50
Sn,0.6909699,100,83.72,51.25714286,125.58,1247.473117,17.94,Mg,Mg,574.6053535,50.03187251,195.0227123,50
Sn,0.396798976,1,145.7866667,89.25714286,218.68,2172.299898,31.24,MZ,MZ,1000.59483,87.12350598,339.6047676,50
Te,3.758117424,10,15.39281333,9.424171429,23.08922,229.3612139,3.29846,L$\alpha$2,L_2,105.6473118,9.19889243,35.85700198,52
Te,0.649005236,10,89.13333333,54.57142857,133.7,1328.134701,19.1,M3-N1,M3-N1,611.7593228,53.26693227,207.6328765,52
I,4.220001089,75,13.70805333,8.392685714,20.56208,204.257382,2.93744,L$\beta$1,L$\beta$1,94.08409975,8.192063745,31.93241449,53
Cs,5.279386712,5,10.95733333,6.708571429,16.436,163.2701716,2.348,LG1,LG1,75.20475864,6.548207171,25.52471173,55
Cs,3.794306703,2,15.246,9.334285714,22.869,227.1736161,3.267,L$\iota$,L_,104.6396706,9.111155378,35.51500563,55
La,4.650185692,100,12.43993333,7.616285714,18.6599,185.3617106,2.6657,L$\alpha$1,L_1,85.38046214,7.434223108,28.97837481,57
La,5.142501556,6,11.249,6.887142857,16.8735,167.6161621,2.4105,L$\beta$3,L_3,77.20658888,6.72250996,26.20413868,57
La,6.073493386,1,9.524666667,5.831428571,14.287,141.9226662,2.041,LG3,LG3,65.37176847,5.692031873,22.18736654,57
La,4.524087591,1,12.78666667,7.828571429,19.18,190.5282241,2.74,L$\eta$,L$\eta$,87.76023793,7.641434263,29.78607757,57
La,5.482529854,,10.55133333,6.46,15.827,157.2205528,2.261,Al3,Al3,72.41821094,6.305577689,24.57894941,57
La,0.826951301,100,69.95333333,42.82857143,104.93,1042.342365,14.99,MA,MA,480.1189659,41.80478088,162.9537601,57
Ce,5.275567094,5,10.96526667,6.713428571,16.4479,163.3883825,2.3497,L$\beta$4,L_4,75.25920842,6.552948207,25.54319214,58
Ce,4.73075602,1,12.22806667,7.486571429,18.3421,182.2047831,2.6203,L$\eta$,L$\eta$,83.92633265,7.307609562,28.48483907,58
Pr,5.590835288,6,10.34693333,6.334857143,15.5204,154.1748827,2.2172,L$\beta$3,L_3,71.0153283,6.183426295,24.102807,59
Nd,5.206871928,10,11.10993333,6.802,16.6649,165.5439938,2.3807,L$\alpha$2,L_2,76.25211622,6.63940239,25.88018791,60
Eu,8.059293934,,7.1778,4.394571429,10.7667,106.9530881,1.5381,Al1,Al1,49.26424159,4.289521912,16.72042552,63
Gd,7.784476262,5,7.4312,4.549714286,11.1468,110.7288847,1.5924,LG1,LG1,51.00343171,4.440956175,17.31071165,64
Gd,7.92988741,,7.294933333,4.466285714,10.9424,108.6984379,1.5632,Al2,Al2,50.06817662,4.359521912,16.99328338,64
Tb,7.365418895,20,7.854,4.808571429,11.781,117.0288325,1.683,"L$\beta$2,15","L$\beta$2,15",53.90528483,4.693625498,18.29560896,65
Tb,1.245453632,100,46.44733333,28.43714286,69.671,692.0902973,9.953,MA,MA,318.7874628,27.75737052,108.1973832,65
Tb,1.265931373,45,45.696,27.97714286,68.544,680.8950257,9.792,MB,MB,313.6307481,27.30836653,106.4471794,65
Dy,6.494098417,100,8.90778,5.453742857,13.36167,132.7307224,1.90881,L$\alpha$1,L_1,61.13781743,5.323374502,20.75035136,66
Dy,7.246495423,50,7.982893333,4.887485714,11.97434,118.9494127,1.71062,L$\beta$1,L$\beta$1,54.78993365,4.770653386,18.59586132,66
Dy,9.053461876,,6.3896,3.912,9.5844,95.20848337,1.3692,Al1,Al1,43.85449554,3.818486056,14.88434212,66
Ru,2.553870053,10,22.65111333,13.86802857,33.97667,337.5137954,4.85381,L$\alpha$2,L_2,155.4640586,13.53652191,52.76494933,44
Ru,3.232333768,,17.89666667,10.95714286,26.845,266.6699779,3.835,Al1,Al1,122.8323038,10.69521912,41.68963777,44
Ru,0.199292605,1,290.2666667,177.7142857,435.4,4325.129759,62.2,M2-M4,M2-M4,1992.22146,173.4661355,676.1657025,44
Pd,3.086499676,1,18.74226667,11.47485714,28.1134,279.2698736,4.0162,L$\beta$6,L_6,128.6360101,11.20055777,43.65943239,46
