Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / SAMANDRE FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C8-17 [5546],NOT GIVEN [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,318837.4135,2337.426,,76000.4436,,,,35988.99,11363.73,6211.312,619.5664,,35447.405,24332.9096,567.3473,,,,,,,,,,,,,,,,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2322,5,5,,,7,8,8,82,24,,,,,107,106,58,588,22,,,,,,,,,,,,,834,63.26,125.9,16.09,61.8,12.97,2.94,12.47,1.96,12.72,2.48,7.17,1.04,6.73,1.14,,,,,,,,,,,16,,12,,,,,,,,,,,,,,,,,,,,,,,,,,172126
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s L6-9B [5546],NOT GIVEN [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,225023.209,3476.172,,81187.1034,,,,82005.15,55675.13,53127.824,1471.4702,,3320.6,23071.7527,174.5684,,,,,,,,,,,,,,,,26200,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3480,323,246,,,49,134,79,82,14,,,,,15,106,13,36,1.7,,,,,,,,,,,,,480,1.72,4.69,0.73,3.18,1.03,0.56,1.94,0.33,2.3,0.51,1.53,0.22,1.46,0.23,1.01,0.03,,,,,,,,,2,,0.25,,0.51286,,,,,,,,,,,,,,,,,,,,,,,,172127
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s L6-10B [5546],NOT GIVEN [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,227266.897,5274.192,,79123.0245,,,,87834.9,73542.63,41489.152,1471.4702,,3818.69,15875.7398,261.8526,,,,,,,,,,,,,,,,24500,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5280,309,198,,,52,87,111,88,13,,,,,21,158,20,59,2.5,,,,,,,,,,,,,400,3.09,7.85,1.18,6.01,2.06,0.74,2.81,0.5,3.53,0.78,2.32,0.34,2.3,0.35,1.63,0.03,,,,,,,,,6,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,172128
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C7-100 [5546],NOT GIVEN [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,226986.436,7791.42,,76370.9193,,,,105090.96,56961.59,34916.016,1858.6992,,6143.11,18323.8679,567.3473,,,,,,,,,,,,,,,,24300,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7788,345,80,,,53,68,139,104,13,,,,,30,163,27,94,6,,,,,,,,,,,,,553,5.72,14.88,2.26,10.79,3.25,1.18,4.42,0.76,5.26,1.14,3.34,0.49,3.04,0.53,,,,,,,,,,,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,,172129
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C7-102 [5546],NOT GIVEN [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,222686.034,6532.806,,78170.3727,,,,99183.48,75901.14,39076.992,1626.3618,,3154.57,13798.5402,392.7789,,,,,,,,,,,,,,,,45200,,,,,,,,,,,,,,,,,,,,,,,,,,,,6534,281,90,,,74,114,162,91,19,,,,,8.8,132.7,21.56,29.31,3.05,,,,,,,,,,,,,,3.74,9.58,1.47,7.19,2.28,0.9,,0.53,3.66,0.82,2.4,0.34,2.19,0.34,0.96,,,,,,,,,,10,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,172130
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C6-87 [5546],NOT GIVEN [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,219180.2715,14563.962,,72613.2372,,,,100893.54,50171.94,41247.936,1548.916,,1743.315,12834.1261,2313.0313,,,,,,,,,,,,,,,,51300,,,,,,,,,,,,,,,,,,,,,,,,,,,7,14580,217,246,,,53,141,37,138,13,,,,,14,299,27,168,11.6,,,,,,,,,,,,,694,22.13,49.88,6.5,28.2,6,2.1,5.78,0.87,5.37,1.09,3.14,0.46,2.93,0.44,3.93,0.44,,,,,,,,,6,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,172131
[5661],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT,POINT LAKE AREA,65.2017,65.2017,-113,-113,SUBAERIAL,,,s 94PL-25 [5661],BASALT [5661],,,,ARCHEAN [5661],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5661] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511417,,,,,,,,,,,,,,,,,,,,,,,,172292
[5661],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT,POINT LAKE AREA,65.265,65.265,-113.085,-113.085,SUBAERIAL,,,s 94PL-31 [5661],BASALT [5661],,,,ARCHEAN [5661],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5661] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513258,,,,,,,,,,,,,,,,,,,,,,,,172293
[5661],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT,POINT LAKE AREA,65.27,65.27,-113.17,-113.17,SUBAERIAL,,,s 94PL-32 [5661],BASALT [5661],,,,ARCHEAN [5661],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5661] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512548,,,,,,,,,,,,,,,,,,,,,,,,172294
[5661],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT,POINT LAKE AREA,65.2317,65.2317,-113.2367,-113.2367,SUBAERIAL,,,s 92PL-82 [5661],NOT GIVEN [5661],,,,ARCHEAN [5661],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5661] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511775,,,,,,,,,,,,,,,,,,,,,,,,172295
[5661],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / AUGUSTUS PLUTONIC COMPLEX,POINT LAKE AREA,65.175,65.175,-112.995,-112.995,SUBAERIAL,,,s 94PL-28 [5661],NOT GIVEN [5661],,,,ARCHEAN [5661],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5661] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511988,,,,,,,,,,,,,,,,,,,,,,,,172296
[5661],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT,POINT LAKE AREA,65.195,65.195,-113.0033,-113.0033,SUBAERIAL,,,s 94PL-26 [5661],NOT GIVEN [5661],,,,ARCHEAN [5661],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5661] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512284,,,,,,,,,,,,,,,,,,,,,,,,172297
[5661],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / SLAVE PROVINCE GNEISS COMPLEXES,POINT LAKE AREA,65.29,65.29,-113.2183,-113.2183,SUBAERIAL,,,s 92PL-53 [5661],GNEISS [5661],,,,ARCHEAN [5661],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [5661] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.510876,,,,,,,,,,,,,,,,,,,,,,,,172298
[5661],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / SLAVE PROVINCE GNEISS COMPLEXES,POINT LAKE AREA,65.265,65.265,-113.2983,-113.2983,SUBAERIAL,,,s 92PL-7 [5661],ORTHOGNEISS [5661],,,,ARCHEAN [5661],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [5661] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.510729,,,,,,,,,,,,,,,,,,,,,,,,172299
[5661],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / AUGUSTUS PLUTONIC COMPLEX,POINT LAKE AREA,65.225,65.225,-113.0467,-113.0467,SUBAERIAL,,,s 94PL-15 [5661],GRANITE [5661],,,,ARCHEAN [5661],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5661] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.510129,,,,,,,,,,,,,,,,,,,,,,,,172300
[5661],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / AUGUSTUS PLUTONIC COMPLEX,POINT LAKE AREA,65.175,65.175,-112.995,-112.995,SUBAERIAL,,,s 94PL-29 [5661],GRANITE [5661],,,,ARCHEAN [5661],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5661] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.509937,,,,,,,,,,,,,,,,,,,,,,,,172301
[5571],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / SLAVE PROVINCE WESTERN PLUTONIC COMPLEX / ANTON GRANITE,,62.84,62.84,-114.3258,-114.3258,SUBAERIAL,,,s RL-1 [5571],GRANITE [5571],,,,ARCHEAN [5571],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5571] ,352632.964,1917.888,,74200.9902,,,,4041.96,428.82,2593.072,77.4458,,52880.555,2373.9424,174.5684,14700,,,,500,,,,,,,,,,100,15200,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,18,19,,,5,9,5,19,,,,,,194,55,7,176,10,,,,,,,,,,,,,750,51.4,99.77,10.65,37.03,5.46,0.73,2.94,0.35,1.29,0.21,0.51,0.07,0.46,0.08,5,0.65,,,,,,,,,,,33.89,3.48,0.510283,,,,,,,,,,,,,,,,,,,,,,,,172302
[5571],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / YELLOWKNIFE GREENSTONE BELT / BELL LAKE GROUP (BASEMENT),,62.6837,62.6837,-114.3233,-114.3233,SUBAERIAL,,,s K92-94 [5571],RHYOLITE [5571],2800000000 [5571],2800000000 [5571],,ARCHEAN [5571],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5571] ,291398.979,4974.522,,84468.4596,,,,42129.66,28873.88,11940.192,1239.1328,,4648.84,53339.5183,741.9157,9000,,,,,,,,,,,,,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,12,,,19,10,,,,,,,,31,53,27,185,11,,,,,,,,,,,,,57,30,73,,25,5.31,,,,,,,,,,,,,,,,,,,,,,13.8,2.9,0.511279,,,,,,,,,,,,,,,,,,,,,,,,172303
[5571],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / YELLOWKNIFE GREENSTONE BELT / KAM GROUP / CHAN FORMATION,,62.6557,62.6557,-114.2983,-114.2983,SUBAERIAL,,,s 40869 [5571],BASALT [5571],2700000000 [5571],2720000000 [5571],,ARCHEAN [5571],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5571] ,227687.5885,5034.456,,79916.901,,,,86124.84,72041.76,44202.832,1626.3618,,1743.315,12240.6405,261.8526,26200,,,,1200,,,,,,,,,,600,27400,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,250,201,,,50,145,,,,,,,,16,103,24,59,2.11,,,,,,,,,,,,,52,3.17,7.95,1.19,7.45,2.4,0.85,2.71,0.49,3.36,0.73,2.2,0.31,2.04,0.27,0.7,0.14,,,,,,,,,,,0.37,0.11,0.512808,,,,,,,,,,,,,,,,,,,,,,,,172304
[5571],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / YELLOWKNIFE GREENSTONE BELT / KAM GROUP / CRESTAURUM FORMATION,,62.523,62.523,-114.3658,-114.3658,SUBAERIAL,,,s YK-28 [5571],BASALT [5571],2700000000 [5571],2720000000 [5571],,ARCHEAN [5571],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5571] ,219694.45,13065.612,,73407.1137,,,,106801.02,64537.41,35820.576,1626.3618,,7139.29,17878.7537,1265.6209,18300,,,,8000,,,,,,,,,,600,26300,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,369,153,,,36,88,123,109,,,,,,20,65,56,183,7,,,,,,,,,,,,,150,12.29,30.14,4.41,20.8,6.24,2.24,8.41,1.39,8.98,1.94,5.57,0.83,5.23,0.81,3.8,0.62,,,,,,,,,,,2.29,0.57,0.512372,,,,,,,,,,,,,,,,,,,,,,,,172305
[5571],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / YELLOWKNIFE GREENSTONE BELT / KAM GROUP / CRESTAURUM FORMATION,,62.5333,62.5333,-114.3605,-114.3605,SUBAERIAL,,,s YK-17 [5571],NOT GIVEN [5571],2700000000 [5571],2720000000 [5571],,ARCHEAN [5571],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5571] ,297148.4295,5693.73,,71184.2595,,,,63505.41,12578.72,17186.64,697.0122,,24406.41,8012.0556,610.9894,24200,,,,3600,,,,,,,,,,4700,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,99,7,,,15,13,29,172,,,,,,96,29,27,231,9,,,,,,,,,,,,,526,24.51,51.53,6.01,17.4,3.72,1.36,4.58,0.71,4.38,0.94,2.77,0.42,2.87,0.46,5.9,0.88,,,,,,,,,,,11.52,3.26,0.511323,,,,,,,,,,,,,,,,,,,,,,,,172306
[5571],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / YELLOWKNIFE GREENSTONE BELT / KAM GROUP / TOWNSITE FORMATION,,62.459,62.459,-114.3752,-114.3752,SUBAERIAL,,,s YK-13 [5571],GABBRO [5571],2700000000 [5571],2720000000 [5571],,ARCHEAN [5571],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5571] ,226285.2835,4794.72,,78805.4739,,,,99183.48,74543.21,47821.072,1471.4702,,2822.51,14762.9543,218.2105,5300,,,,1000,,,,,,,,,,200,6300,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,238,273,,,44,134,60,88,,,,,,9,113,19,50,2,,,,,,,,,,,,,127,2.3,6.08,0.97,4.63,1.55,0.67,2.44,0.43,2.86,0.63,1.82,0.28,1.77,0.29,0.8,0.14,,,,,,,,,,,0.29,0.05,0.512832,,,,,,,,,,,,,,,,,,,,,,,,172307
[5571],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / YELLOWKNIFE GREENSTONE BELT / KAM GROUP / TOWNSITE FORMATION,,62.4572,62.4572,-114.369,-114.369,SUBAERIAL,,,s YK-6 [5571],NOT GIVEN [5571],2700000000 [5571],2720000000 [5571],,ARCHEAN [5571],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5571] ,317902.5435,3955.644,,73830.5145,,,,34823.04,43596.7,5125.84,619.5664,,10376.875,19436.6534,916.4841,8100,,,,3600,,,,,,,,,,100,11700,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,36,6,,,8,5,18,68,,,,,,65,237,40,271,13,,,,,,,,,,,,,301,44.73,91.33,10.69,38.02,7.65,1.63,7.55,1.18,6.83,1.39,3.92,0.58,3.73,0.58,6.4,1.11,,,,,,,,,,,18.55,5.33,0.511292,,,,,,,,,,,,,,,,,,,,,,,,172308
[5571],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / YELLOWKNIFE GREENSTONE BELT / KAM GROUP / YELLOWKNIFE BAY FORMATION,,62.45,62.45,-114.3723,-114.3723,SUBAERIAL,,,s YK-7 [5571],BASALT [5571],2700000000 [5571],2720000000 [5571],,ARCHEAN [5571],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5571] ,232408.682,6892.41,,76265.0691,,,,105168.69,60177.74,34192.368,1858.6992,,498.09,27077.7805,392.7789,5000,,,,2200,,,,,,,,,,900,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,323,188,,,51,89,142,115,,,,,,7,68,27,77,4,,,,,,,,,,,,,70,2.76,8.38,1.37,6.58,2.26,0.83,3.41,0.63,4.3,0.96,2.75,0.41,2.5,0.37,1,0.22,,,,,,,,,,,0.48,0.12,0.512861,,,,,,,,,,,,,,,,,,,,,,,,172309
[5571],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / YELLOWKNIFE GREENSTONE BELT / KAM GROUP / YELLOWKNIFE BAY FORMATION,,62.4992,62.4992,-114.3433,-114.3433,SUBAERIAL,,,s GS-4 [5571],BASALT [5571],2700000000 [5571],2720000000 [5571],,ARCHEAN [5571],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5571] ,244001.07,8750.364,,93412.8015,,,,68480.13,15294.58,23217.04,1548.916,,10044.815,43843.7487,698.2736,24600,,,,7200,,,,,,,,,,1000,31800,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,240,140,,,40,73,88,130,,,,,,22,34,24,110,4.69,,,,,,,,,,,,,630,9.5,21.01,2.67,9.98,2.23,1.05,3.3,0.59,3.97,0.83,2.44,0.38,2.27,0.33,2.63,,,,,,,,,,,,1.87,0.58,0.511273,,,,,,,,,,,,,,,,,,,,,,,,172310
[5571],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / YELLOWKNIFE GREENSTONE BELT / KAM GROUP / YELLOWKNIFE BAY FORMATION,,62.4992,62.4992,-114.3433,-114.3433,SUBAERIAL,,,s GS-18 [5571],NOT GIVEN [5571],2700000000 [5571],2720000000 [5571],,ARCHEAN [5571],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5571] ,328232.857,2277.492,,68220.4539,,,,7384.35,28945.35,4281.584,387.229,,35945.495,5192.999,480.0631,19000,,,,28000,,,,,,,,,,300,47000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,34,6,,,,,,15,,,,,,130,20,10,130,4.22,,,,,,,,,,,,,410,14.22,28.97,3.29,12.4,3.48,0.73,2.05,0.29,1.47,0.29,0.71,0.11,0.62,0.09,3.19,,,,,,,,,,,,5.2,1.42,0.512008,,,,,,,,,,,,,,,,,,,,,,,,172311
[5839],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / YELLOWKNIFE GREENSTONE BELT / CENTRAL YELLOWKNIFE BELT,CONTWOYTO-NOSE LAKE REGION,65,66,-110,-110.5,SUBAERIAL,,,s D052-87 [5839],BASALT [5839],,,,ARCHEAN [5839],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5839] ,234184.935,3955.644,,84680.16,,,,76408.59,79474.64,49509.584,1316.5786,,8965.62,19585.0248,785.5578,,,,,,,,,,,,,,,,11600,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,254,17,,,,42,,84,15,,,,,25,282,13,35,1,,,,,,,,,,,,,53,20.9,51.6,8.1,39.2,10.08,5.17,10.38,1.67,10.31,2.18,5.74,0.81,5.53,0.82,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,179871
[5839],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / YELLOWKNIFE GREENSTONE BELT / CENTRAL YELLOWKNIFE BELT,CONTWOYTO-NOSE LAKE REGION,65,66,-110,-110.5,SUBAERIAL,,,s D206-87 [5839],ANDESITE [5839],,,,ARCHEAN [5839],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5839] ,280461,5873.532,,90501.921,,,,47570.76,45526.39,25568.896,1239.1328,,4399.795,30490.3227,1614.7577,,,,,,,,,,,,,,,,10900,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,195,177,,,,90,,78,15,,,,,8,161,24,173,10,,,,,,,,,,,,,91,25.4,61,7.8,32.8,6.1,1.96,5.47,0.77,4.39,0.87,2.26,0.3,2.01,0.29,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,179872
[5839],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / YELLOWKNIFE GREENSTONE BELT / CENTRAL YELLOWKNIFE BELT,CONTWOYTO-NOSE LAKE REGION,65,66,-110,-110.5,SUBAERIAL,,,s D237-87 [5839],ANDESITE [5839],,,,ARCHEAN [5839],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5839] ,284667.915,6592.74,,84150.909,,,,55032.84,49886.06,19478.192,1084.2412,,1162.21,31899.851,916.4841,,,,,,,,,,,,,,,,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,183,27,,,,16,,87,16,,,,,0,192,30,222,10.2,,,,,,,,,,,,,14,24.9,55.9,6.9,28.4,5.8,1.66,6,0.91,5.6,1.18,3.24,0.46,3.15,0.47,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,179873
[5839],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / YELLOWKNIFE GREENSTONE BELT / CENTRAL YELLOWKNIFE BELT,CONTWOYTO-NOSE LAKE REGION,65,66,-110,-110.5,SUBAERIAL,,,s D084A-87 [5839],RHYOLITE [5839],,,,ARCHEAN [5839],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5839] ,365534.17,1678.152,,57688.359,,,,24174.03,4645.55,11819.584,154.8916,,1660.3,34718.9076,87.2842,,,,,,,,,,,,,,,,12200,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0,0,,,,0,,29,13,,,,,3,53,36,338,16,,,,,,,,,,,,,30,25.2,52.7,7.4,29,6.1,1.12,5.65,0.87,5.33,1.05,2.99,0.42,2.7,0.4,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,179874
[5839],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / CENTRAL BELT PLUTONIC SUITE,CONTWOYTO-NOSE LAKE REGION,65,66,-110,-110.5,SUBAERIAL,,,s D54B-87 [5839],GABBRO [5839],2650000000 [5839],2689000000 [5839],,ARCHEAN [5839],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5839] ,232315.195,6113.268,,94206.678,,,,70734.3,81976.09,41549.456,1239.1328,,7139.29,20994.5531,1047.4104,,,,,,,,,,,,,,,,8700,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,237,119,,,,121,,82,18,,,,,16,329,18,72,6.7,,,,,,,,,,,,,93,12.5,29.1,3.98,16.7,3.64,1.23,3.29,0.51,3.2,0.67,1.76,0.26,1.67,0.24,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,179875
