Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,CYCLOPS PENINSULA,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C5-88 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,223807.878,12406.338,,71078.4093,,,,133384.68,48599.6,30935.952,1626.3618,,3486.63,24110.3525,741.9157,,,,,,,,,,,,,,,,20400,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42,420,84,,,,27,,,21,,,,,13,128,36,155,9.5,,,,,,,,,,,,,232,12.51,28.51,3.86,17.62,4.87,1.52,5.72,0.95,6.3,1.4,4.13,0.6,3.94,0.58,3.59,0.11,,,,,,,,,,,2.36,,0.51213,,,,,,,,,,,,,,,,,,,,,,,,172116
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,CYCLOPS PENINSULA,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C5-89B [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,234745.857,9529.506,,75524.1177,,,,109288.38,59463.04,32986.288,1626.3618,,2075.375,19362.4677,567.3473,,,,,,,,,,,,,,,,23700,,,,,,,,,,,,,,,,,,,,,,,,,,,,9540,308,222,,,,60,,,18,,,,,7,184,27,127,7.4,,,,,,,,,,,,,229,9.08,21.39,2.88,12.8,3.65,1.13,4.28,0.73,4.89,1.04,3.23,0.46,3.03,0.46,2.91,0.1,,,,,,,,,,,2.01,,0.51212,,,,,,,,,,,,,,,,,,,,,,,,172117
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,CYCLOPS PENINSULA,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C5-101 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,231941.247,11087.79,,80710.7775,,,,104546.85,41095.25,29368.048,1548.916,,3569.645,32641.708,654.6315,,,,,,,,,,,,,,,,32600,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100,289,241,,,,52,,,15,,,,,5,70,29,137,4.1,,,,,,,,,,,,,306,11.03,28.96,4.35,14.45,4.1,2.09,8.14,1.37,9.22,2.05,6.09,0.88,5.89,0.85,3.19,0.07,,,,,,,,,,,2.09,,0.51217,,,,,,,,,,,,,,,,,,,,,,,,172118
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C6-47 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,234558.883,6472.872,,78487.9233,,,,100815.81,67825.03,20081.232,2788.0488,,2822.51,17952.9394,392.7789,,,,,,,,,,,,,,,,56600,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6480,263,259,,,42,63,33,91,20,,,,,40,139,38,167,8.7,,,,,,,,,,,,,512,13.62,31.47,4.23,18.39,5.99,1.84,6.39,1.05,6.99,1.45,4.3,0.62,4.04,0.61,4.25,0.11,,,,,,,,,6,,2.9,,0.51283,,,,,,,,,,,,,,,,,,,,,,,,172119
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C6-50 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,211654.568,7252.014,,79969.8261,,,,97862.07,46241.09,23518.56,1936.145,,1909.345,37241.2214,2094.8208,,,,,,,,,,,,,,,,66300,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7260,219,137,,,51,116,81,92,16,,,,,10,129,21,71,3.4,,,,,,,,,,,,,363,5.37,12.48,1.73,7.01,2.08,0.88,3.26,0.55,3.84,0.84,2.48,0.35,2.39,0.35,1.94,0.06,,,,,,,,,4,,0.99,,0.51242,,,,,,,,,,,,,,,,,,,,,,,,172120
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C6-61C [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,230912.89,7671.552,,93889.1274,,,,75242.64,70540.89,32202.336,1161.687,,3237.585,15578.997,610.9894,,,,,,,,,,,,,,,,17200,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7680,207,169,,,41,29,119,98,11,,,,,22,174,27,101,6.2,,,,,,,,,,,,,292,9.16,20.57,2.82,13.25,3.85,1.26,4.53,0.77,5.08,1.08,3.2,0.46,3.06,0.46,2.7,0.08,,,,,,,,,3,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,172121
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C7-77 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,224696.0045,12586.14,,76900.1703,,,,95607.9,51243.99,37629.696,1463.72562,,1577.285,27522.8947,1837.33241,,,,,,,,,,,,,,,,23100,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12.552,262,48,,,48,88,30,122,15,,,,,12,482,21,118,8,,,,,,,,,,,,,520,16.75,37.07,4.98,21.27,4.42,1.67,4.39,0.68,4.47,0.88,2.54,0.34,2.34,0.37,,,,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,172122
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s D6-10 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,258398.068,4914.588,,89231.7186,,,,45472.05,47741.96,26955.888,542.1206,,4731.855,25668.2522,916.4841,,,,,,,,,,,,,,,,37300,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4920,131,117,,,22,89,25,68,19,,,,,15,1410,11,124,7,,,,,,,,,,,,,855,36.5,74.27,8.86,31.1,4.78,1.45,3.74,0.45,2.36,0.43,1.15,0.16,1,0.15,3.39,0.08,,,,,,,,,14,,5.57,,0.51095,,,,,,,,,,,,,,,,,,,,,,,,172123
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s D6-12 [5546],NOT GIVEN [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,249937.4945,6472.872,,74359.7655,,,,50835.42,49385.77,44263.136,697.0122,,5478.99,27300.3376,1178.3367,,,,,,,,,,,,,,,,34900,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6480,184,273,,,32,225,13,76,17,,,,,21,2811,11,164,11.8,,,,,,,,,,,,,452,44.8,94.33,10.79,38.08,5.28,1.44,3.28,0.4,2.28,0.43,1.17,0.17,1.07,0.16,4.54,0.43,,,,,,,,,17,,9.15,,0.51078,,,,,,,,,,,,,,,,,,,,,,,,172124
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C6-77 [5546],NOT GIVEN [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,220816.294,6652.674,,81345.8787,,,,96540.66,32232.97,49811.104,1548.916,,25070.53,16469.2254,305.4947,,,,,,,,,,,,,,,,21200,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6660,333,206,,,50,38,17,68,20,,,,,31,1263,7,136,5.9,,,,,,,,,,,,,1424,28.91,56.34,6.4,23.01,3.45,1.06,2.24,0.29,1.59,0.29,0.82,0.11,0.71,0.11,3.55,0.33,,,,,,,,,9,,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,172125
